Year, HDI, Rank
2022,0.940,15º
2021,0.931,17º
2020,0.920,21º
2019,0.933,16º
2018,0.928,17º
2017,0.929,16º
2016,0.926,16º
2015,0.923,18º
2014,0.924,15º
2013,0.923,13º
2012,0.910,18º
2011,0.909,18º
2010,0.913,12º
2009,0.907,17º
2008,0.902,18º
2007,0.897,18º
2006,0.894,18º
2005,0.895,16º
2004,0.889,16º
2003,0.879,18º
2002,0.874,18º
2001,0.869,18º
2000,0.863,19º
1999,0.855,18º
1998,0.848,17º
1997,0.843,17º
1996,0.836,17º
1995,0.830,17º
1994,0.827,17º
1993,0.819,17º
1992,0.815,17º
1991,0.809,17º
1990,0.804,17º
